CODIGO;CATEGORIA;DESCRICAO;UNIDADE;PRECO;ATUALIZADO_EM;VALIDADE_DIAS
TUB_14_FLEX;Tubulação;"Tubo de cobre 1/4"" flexível";M;18.0;2025-12-30;7
TUB_38_FLEX;Tubulação;"Tubo de cobre 3/8"" flexível";M;28.0;2025-12-30;7
TUB_12_FLEX;Tubulação;"Tubo de cobre 1/2"" flexível";M;42.0;2025-12-30;7
TUB_58_FLEX;Tubulação;"Tubo de cobre 5/8"" flexível";M;55.0;2025-12-30;7
TUB_58_RIG;Tubulação;"Tubo de cobre 5/8"" rígido";M;62.0;2025-12-30;7
TUB_34_FLEX;Tubulação;"Tubo de cobre 3/4"" flexível";M;72.0;2025-12-30;7
TUB_34_RIG;Tubulação;"Tubo de cobre 3/4"" rígido";M;80.0;2025-12-30;7
TUB_78_RIG;Tubulação;"Tubo de cobre 7/8"" rígido";M;95.0;2025-12-30;7
TUB_118_RIG;Tubulação;"Tubo de cobre 1.1/8"" rígido";M;135.0;2025-12-30;7
TUB_138_RIG;Tubulação;"Tubo de cobre 1.3/8"" rígido";M;175.0;2025-12-30;7
ISO_14_ELA_E9;Isolamento;"Isolamento elastomérico p/ 1/4"" esp. 9mm";M;8.0;2025-12-30;7
ISO_14_ELA_E13;Isolamento;"Isolamento elastomérico p/ 1/4"" esp. 13mm";M;12.0;2025-12-30;7
ISO_38_ELA_E9;Isolamento;"Isolamento elastomérico p/ 3/8"" esp. 9mm";M;10.0;2025-12-30;7
ISO_38_ELA_E13;Isolamento;"Isolamento elastomérico p/ 3/8"" esp. 13mm";M;14.0;2025-12-30;7
ISO_12_ELA_E9;Isolamento;"Isolamento elastomérico p/ 1/2"" esp. 9mm";M;12.0;2025-12-30;7
ISO_12_ELA_E13;Isolamento;"Isolamento elastomérico p/ 1/2"" esp. 13mm";M;16.0;2025-12-30;7
ISO_58_ELA_E9;Isolamento;"Isolamento elastomérico p/ 5/8"" esp. 9mm";M;14.0;2025-12-30;7
ISO_58_ELA_E19;Isolamento;"Isolamento elastomérico p/ 5/8"" esp. 19mm";M;22.0;2025-12-30;7
ISO_34_ELA_E9;Isolamento;"Isolamento elastomérico p/ 3/4"" esp. 9mm";M;16.0;2025-12-30;7
ISO_34_ELA_E19;Isolamento;"Isolamento elastomérico p/ 3/4"" esp. 19mm";M;25.0;2025-12-30;7
ISO_78_ELA_E19;Isolamento;"Isolamento elastomérico p/ 7/8"" esp. 19mm";M;28.0;2025-12-30;7
ISO_118_ELA_E25;Isolamento;"Isolamento elastomérico p/ 1.1/8"" esp. 25mm";M;38.0;2025-12-30;7
ISO_138_ELA_E25;Isolamento;"Isolamento elastomérico p/ 1.3/8"" esp. 25mm";M;48.0;2025-12-30;7
ISO_14_POL_E10;Isolamento;"Isolamento polietileno p/ 1/4"" esp. 10mm";M;6.0;2025-12-30;7
ISO_38_POL_E10;Isolamento;"Isolamento polietileno p/ 3/8"" esp. 10mm";M;7.0;2025-12-30;7
ISO_12_POL_E10;Isolamento;"Isolamento polietileno p/ 1/2"" esp. 10mm";M;8.0;2025-12-30;7
ISO_58_POL_E10;Isolamento;"Isolamento polietileno p/ 5/8"" esp. 10mm";M;9.0;2025-12-30;7
ISO_34_POL_E10;Isolamento;"Isolamento polietileno p/ 3/4"" esp. 10mm";M;10.0;2025-12-30;7
ACA_FITA_TER;Isolamento;Fita isolante térmica (rolo 30m);UN;25.0;2025-12-30;7
CAB_PP_15;Elétrica;Cabo PP 3x1,5mm²;M;6.5;2025-12-30;7
CAB_PP_25;Elétrica;Cabo PP 3x2,5mm²;M;9.0;2025-12-30;7
CAB_PP_40;Elétrica;Cabo PP 3x4mm²;M;14.0;2025-12-30;7
CAB_PP_60;Elétrica;Cabo PP 3x6mm²;M;22.0;2025-12-30;7
CAB_FLEX_25;Elétrica;Cabo flexível 2,5mm² (fase/neutro/terra);M;3.5;2025-12-30;7
CAB_FLEX_40;Elétrica;Cabo flexível 4mm² (fase/neutro/terra);M;5.5;2025-12-30;7
CAB_FLEX_60;Elétrica;Cabo flexível 6mm² (fase/neutro/terra);M;8.0;2025-12-30;7
CAB_COM;Elétrica;Cabo de comunicação 2x0,75mm²;M;3.0;2025-12-30;7
DISJ_M_10;Proteção;Disjuntor monopolar 10A;UN;18.0;2025-12-30;7
DISJ_M_16;Proteção;Disjuntor monopolar 16A;UN;18.0;2025-12-30;7
DISJ_M_20;Proteção;Disjuntor monopolar 20A;UN;18.0;2025-12-30;7
DISJ_B_20;Proteção;Disjuntor bipolar 20A;UN;45.0;2025-12-30;7
DISJ_B_25;Proteção;Disjuntor bipolar 25A;UN;48.0;2025-12-30;7
DISJ_B_32;Proteção;Disjuntor bipolar 32A;UN;52.0;2025-12-30;7
DISJ_B_40;Proteção;Disjuntor bipolar 40A;UN;58.0;2025-12-30;7
DISJ_CX;Proteção;Caixa de sobrepor para disjuntor;UN;25.0;2025-12-30;7
COND_CORR_34;Eletroduto;"Eletroduto corrugado 3/4""";M;2.5;2025-12-30;7
COND_CORR_100;Eletroduto;"Eletroduto corrugado 1""";M;3.5;2025-12-30;7
COND_CURV_34;Eletroduto;"Curva 90° eletroduto 3/4""";UN;1.5;2025-12-30;7
COND_ABRC_34;Eletroduto;"Abraçadeira para eletroduto 3/4""";UN;0.8;2025-12-30;7
DRN_CRIS_34;Dreno;"Mangueira cristal 3/4""";M;4.0;2025-12-30;7
