prioridade,composicao,familia,faltas,qtd_faltas
P0,COMP_DESINST,COMP_DESINST,"acabamento,dreno,eletrica",3
P0,COMP_FACH,COMP_FACH,"acabamento,dreno,eletrica",3
P0,COMP_INST_BI_48K,COMP_INST,"acabamento,dreno,eletrica",3
P0,COMP_INST_BI_60K,COMP_INST,"acabamento,dreno,eletrica",3
P0,COMP_INST_FACH_RAPEL,COMP_INST,"acabamento,dreno,eletrica",3
P1,COMP_BOMB_DRN,COMP_BOMB,"dreno,eletrica",2
P1,COMP_INST_CPD_CRITICO,COMP_INST,"dreno,eletrica",2
P1,COMP_REINST_CS,COMP_REINST,"dreno,eletrica",2
P1,COMP_REINST_HW,COMP_REINST,"dreno,eletrica",2
P1,COMP_REINST_MUD_POS,COMP_REINST,"dreno,eletrica",2
P1,COMP_REINST_PT,COMP_REINST,"dreno,eletrica",2
P1,COMP_DISJ,COMP_DISJ,dreno,1
P1,COMP_INST_9K,COMP_INST,dreno,1
P1,COMP_INST_BI_18K,COMP_INST,dreno,1
P1,COMP_INST_BI_24K,COMP_INST,dreno,1
P1,COMP_INST_BI_36K,COMP_INST,dreno,1
P1,COMP_INST_HW_12K,COMP_INST,dreno,1
P1,COMP_INST_HW_18K,COMP_INST,dreno,1
P1,COMP_INST_HW_22K,COMP_INST,dreno,1
P1,COMP_INST_HW_24K,COMP_INST,dreno,1
P1,COMP_INST_HW_30K,COMP_INST,dreno,1
P1,COMP_INST_HW_36K,COMP_INST,dreno,1
P1,COMP_INST_HW_48K,COMP_INST,dreno,1
P1,COMP_INST_HW_60K,COMP_INST,dreno,1
P1,COMP_INST_PT_18K,COMP_INST,dreno,1
P1,COMP_INST_PT_24K,COMP_INST,dreno,1
P1,COMP_INST_PT_36K,COMP_INST,dreno,1
P1,COMP_INST_PT_48K,COMP_INST,dreno,1
P1,COMP_INST_PT_60K,COMP_INST,dreno,1
